concurso;strategy;ordering;distribution_id;hits;hit_14;hit_13;hit_12;p13_plus_empirical;p12_plus_empirical;double_games;ticket
865;margin;margin;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.11111111;2,7,8,9,12;1|X2|1|2|2|2|1X|12|1X|1|2|12|1|1
865;ratio;ratio;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.11111111;2,7,8,9,12;1|X2|1|2|2|2|1X|12|1X|1|2|12|1|1
865;hist_top1;hist_top1;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.05555556;2,3,4,6,7;1|X2|1X|X2|2|X2|1X|2|1|1|2|1|1|1
865;hist_top2;hist_top2;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.05555556;2,4,6,7,10;1|X2|1|X2|2|X2|1X|2|1|1X|2|1|1|1
865;exact;exact;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.11111111;2,7,8,9,12;1|X2|1|2|2|2|1X|12|1X|1|2|12|1|1
866;gain;gain;T1=14|T2=5|T3=0;10;0;0;0;0.05263158;0.10526316;2,6,11,13,14;1|1X|1|1|1|1X|1|1|1|1|1X|1|1X|1X
866;top2_probability;top2_probability;T1=14|T2=5|T3=0;10;0;0;0;0.05263158;0.10526316;2,6,11,13,14;1|1X|1|1|1|1X|1|1|1|1|1X|1|1X|1X
866;uncertainty;uncertainty;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.10526316;1,6,10,11,13;1X|1|1|1|1|1X|1|1|1|1X|1X|1|1X|1
866;margin;margin;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.10526316;1,6,10,11,13;1X|1|1|1|1|1X|1|1|1|1X|1X|1|1X|1
866;ratio;ratio;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.10526316;1,6,10,11,13;1X|1|1|1|1|1X|1|1|1|1X|1X|1|1X|1
866;hist_top1;hist_top1;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.05263158;2,3,4,6,7;1|1X|1X|1X|1|1X|1X|1|1|1|1|1|1|1
866;hist_top2;hist_top2;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.05263158;2,4,6,7,10;1|1X|1|1X|1|1X|1X|1|1|1X|1|1|1|1
866;exact;exact;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.10526316;1,2,6,11,13;1X|1X|1|1|1|1X|1|1|1|1|1X|1|1X|1
867;gain;gain;T1=14|T2=5|T3=0;6;0;0;0;0.05000000;0.10000000;5,7,8,9,10;2|1|1|2|12|1|1X|1X|X2|1X|1|1|1|2
867;top2_probability;top2_probability;T1=14|T2=5|T3=0;6;0;0;0;0.05000000;0.10000000;5,7,8,9,10;2|1|1|2|12|1|1X|1X|X2|1X|1|1|1|2
867;uncertainty;uncertainty;T1=14|T2=5|T3=0;7;0;0;0;0.00000000;0.10000000;3,5,7,9,14;2|1|12|2|12|1|1X|1|X2|1|1|1|1|12
867;margin;margin;T1=14|T2=5|T3=0;7;0;0;0;0.00000000;0.10000000;5,7,8,9,14;2|1|1|2|12|1|1X|1X|X2|1|1|1|1|12
867;ratio;ratio;T1=14|T2=5|T3=0;7;0;0;0;0.00000000;0.10000000;5,7,8,9,14;2|1|1|2|12|1|1X|1X|X2|1|1|1|1|12
